itemName,itemPrice,price
"NEW! DELL 15.6"" Full-HD AMD Ryzen 5 3.60GHz 20GB 1TB HD Windows 10 Gaming Laptop",https://www.ebay.com/itm/NEW-DELL-15-6-Full-HD-AMD-Ryzen-5-3-60GHz-20GB-1TB-HD-Windows-10-Gaming-Laptop/122309561125?hash=item1c7a37cb25:m:m8YvxltKsjgSsqpgefnZAdA,"THB13,509.80"
"New ListingLenovo Thinkpad L530 15.6"" Business / Student Laptop i5 CPU 240GB SSD 8GB RAM",https://www.ebay.com/itm/Lenovo-Thinkpad-L530-15-6-Business-Student-Laptop-i5-CPU-240GB-SSD-8GB-RAM/192915019931?epid=1139644633&hash=item2ceaa1989b:g:ihgAAOSwR0Bc2X9Q,"THB7,405.40"
New ListingDELL INSPIRON 5520 Laptop Intel Core i3 2.8ghz 6GB RAM 500GB HDD Windows 10,https://www.ebay.com/itm/DELL-INSPIRON-5520-Laptop-Intel-Core-i3-2-8ghz-6GB-RAM-500GB-HDD-Windows-10/183808294370?hash=item2acbd3fde2:g:nGYAAOSwUqRc1~RF,"THB1,892.60"
"New ListingDell XPS 15 9570 i5-8300H, 256GB SSD, 8GB RAM Laptop,New",https://www.ebay.com/itm/Dell-XPS-15-9570-i5-8300H-256GB-SSD-8GB-RAM-Laptop-New/153486249924?epid=16029953983&hash=item23bc7e4fc4:g:l9kAAOSw2stblD8Y,"THB28,408.62"
Asus Zenbook,https://www.ebay.com/itm/Asus-Zenbook/293078392316?hash=item443cd55dfc:g:rywAAOSwPXJc0K-E,"THB9,470.59"
"New ListingHP EliteBook 840 G5 14"" Laptop Intel Core i5-8350U, 8GB RAM, 256GB SSD",https://www.ebay.com/itm/HP-EliteBook-840-G5-14-Laptop-Intel-Core-i5-8350U-8GB-RAM-256GB-SSD/183808787254?epid=9017452826&hash=item2acbdb8336:g:KOQAAOSwm-Nc0Ej8,"THB14,811.63"
"Brand New quilltec Laptop ",https://www.ebay.com/itm/Brand-New-quilltec-Laptop/202677145950?hash=item2f307fd15e:g:3-oAAOSwtSFc2BLT,"THB1,604.59"
New ListingHP x360 15.6 Full-HD TouchScreen Convertible Laptop 20GB Core i3 3.40GHz 1TB HD,https://www.ebay.com/itm/HP-x360-15-6-Full-HD-TouchScreen-Convertible-Laptop-20GB-Core-i3-3-40GHz-1TB-HD/223514007592?hash=item340a791828:g:OX0AAOSwAhNc2Pyo,"THB5,050.98"
New ListingDell XPS 13 9370 i7-8550U 16GB 512GB NVMe SSD 13.3'' 4K UHD Touch Laptop (4K),https://www.ebay.com/itm/Dell-XPS-13-9370-i7-8550U-16GB-512GB-NVMe-SSD-13-3-4K-UHD-Touch-Laptop-4K/133050189366?epid=245263965&hash=item1efa68c636:g:XKoAAOSwXgFcxXxc,"THB39,289.91"
Lenovo Yoga 730 2-in-1 15.6 TouchScreen Laptop i5-8250U Customize RAM&Hard Drive,https://www.ebay.com/itm/Lenovo-Yoga-730-2-in-1-15-6-TouchScreen-Laptop-i5-8250U-Customize-RAM-Hard-Drive/283468617148?hash=item42000bd5bc:m:mt-759O9sE9uj6R6j90Kz8g,"THB23,202.95 to THB32,673.55"
BARGAIN WINDOWS 7 Toshiba Tecra M10 Laptop Core 2 Duo 2GB RAM Warranty WiFi DVD,https://www.ebay.com/itm/BARGAIN-WINDOWS-7-Toshiba-Tecra-M10-Laptop-Core-2-Duo-2GB-RAM-Warranty-WiFi-DVD/264319883220?hash=item3d8ab157d4:g:lS0AAOSwPb1c0h9S,"THB2,468.19"
"HP Touchscreen 15.6"" Laptop i5-7200U HDMI DVD-RW Customize Ram/Hard Drive Win 10",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-HDMI-DVD-RW-Customize-Ram-Hard-Drive-Win-10/273799275396?hash=item3fbfb56384:m:m-nDp9FtOOxibsWzxyNcJtg,"THB15,278.91 to THB26,643.62"
"New ListingHP ProBook 640 G4 14"" SSD Laptop Intel Core i5-8250U, 8GB RAM, 256GB SSD, Win 10",https://www.ebay.com/itm/HP-ProBook-640-G4-14-SSD-Laptop-Intel-Core-i5-8250U-8GB-RAM-256GB-SSD-Win-10/223514240747?epid=16020384161&hash=item340a7ca6eb:g:9CEAAOSwqO1c1IaF,"THB28,800.39"
"New ListingDell Latitude 3540 Laptop - Core i3 1.7GHz, 4GB Ram, No HDD, No OS",https://www.ebay.com/itm/Dell-Latitude-3540-Laptop-Core-i3-1-7GHz-4GB-Ram-No-HDD-No-OS/133050629820?hash=item1efa6f7ebc:g:dUUAAOSwfiZc0V3Q,THB473.15
"NEW HP Stream 14"" Laptop Celeron N3060 4GB RAM 32GB 32 GB eMMC Windows 10",https://www.ebay.com/itm/NEW-HP-Stream-14-Laptop-Celeron-N3060-4GB-RAM-32GB-32-GB-eMMC-Windows-10/292593246536?hash=item441feaa148:m:mSTB0Tcen7-4qlnLnHpCSaA,"THB6,629.10"
"Dell Inspiron 15.6"" HD Touchscreen Intel Core i5-7200U Customize Laptop PC WIN10",https://www.ebay.com/itm/Dell-Inspiron-15-6-HD-Touchscreen-Intel-Core-i5-7200U-Customize-Laptop-PC-WIN10/283452803984?hash=item41ff1a8b90:m:mYtwLwKB9ZcRadlaB2WqhQw,"THB16,036.87 to THB25,823.15"
"New ListingAcer Chromebook CB3-431 14'' Laptop N16P1 1.6GHz 2GB eMMC 16GB Chrome OS Silver ",https://www.ebay.com/itm/Acer-Chromebook-CB3-431-14-Laptop-N16P1-1-6GHz-2GB-eMMC-16GB-Chrome-OS-Silver/273844476880?hash=item3fc2671bd0:g:gVUAAOSwUAxc2YWv,"THB3,906.57"
